Author,ISBN,Title,Quantity,New,Used,Semester,Discrepancies between Netsuite Quantity,Last Checked
"Brough, R. ",9786744353749,Percussion Techniques (Dvd/Cdrom),2,2,0,175,consistent,7/25/19
"Brown, B",9780470537565,Multivariate Analysis & Biobehav Soc Sci,5,1,4,191,consistent,7/25/19
"Brown, J",9781305318366,Nutrition Through The Life Cycle - Byu Custom,6,6,0,181,"6 in cage, netsuite says 4",7/25/19
"Brown, L",9781945527142,How Films Tell Stories,3,3,0,191,consistent,7/25/19
"Buck, W",9780520272989,Ramayana 35Th Anniv Ed,1,0,1,191,consistent,7/25/19
Buffman,9781936764891,Uniting Academic & Behavior Interventions,1,1,0,185,consistent,7/25/19
"Bugul, K",9782708707306,"Riwan ou, Le Chemin de Sable",2,2,0,181,consistent,7/25/19
Bulliet,9781285436913,Earth & Its People Vol 1 6E,9,0,9,181,consistent,7/25/19
"Bulliet, R",9781285436968,Earth & Its Peoples Vol 2 6E,33,12,21,185,consistent,7/25/19
"Bullough, R",9780807740453,Uncertain Lives,13,0,13,181,consistent,7/25/19
"Burnett, B",9781524761813,The Designing Your Life Workbook,1,1,0,185,consistent,7/25/19
"Byock, J",9781480216440,Viking Language 1 Learn Old Norse Runes & Icelandic Sagas,1,0,1,191,consistent,7/25/19
"Byock, J",9781481175265,Viking Language 2 Learn Old Norse Runes & Icelandic Sagas,3,3,0,191,consistent,7/25/19
BYU Geol Dept,9786422257826,Geologic Map of the Y Mountain Area,24,24,0,191,consistent,7/25/19
BYU Geology Dept,9786422257819,Rock Canyon Field Guide,27,27,0,191,consistent,7/25/19
Byu Literature,9786745451888,David O Mckay Essays 2018,5,NA,NA,191,COULD NOT FIND IN CAGE OR SHELVES,7/25/19
"Calderon, P",9788437628554,La Dama Duende,3,,,191,consistent,7/25/19
"Calvino, I",9780156453806,Invisible Cities,2,,,191,consistent,7/25/19
"Cantarino, V",9780131946385,Civilizacion Y Cultura De Espana 5E,1,,,191,consistent,7/25/19
"Carlson, M",9780996381611,Pathways To College Algebra Wkbk,9,,,181,consistent,7/25/19
"Carpentier, A",9789682303821,El Arpa Y La Sombra (Siglo Xxi),12,,,191,consistent,7/25/19
"Carroll, L",9780486275437,Alice's Adventures In Wonderland,5,,,191,consistent,7/25/19
"Castellanos, R",9786071622082,Balun Canan,1,,,181,consistent,7/25/19
"Cateora, P",9780077842161,International Marketing 17E,2,,,191,"2 in cage, netsuite says 1",7/25/19
"Catford, J C",9780199246359,Practical Intro To Phonetics 2E,1,,,185,consistent,7/25/19
"Cavage, C",9780134400273,University Success,11,,,ESC,consistent,7/25/19
"Cavanaugh, J",9781285444918,Adult development and Aging,15,,,185,consistent,7/25/19
"Cecchetti, S",9781259746741,"Money, Banking, and Financial Markets",65,,,191,consistent,7/25/19
"Cengel, Y",9780073529325,Thermodynamics 7E,1,,,183,consistent,7/25/19
"Cervantes, M",9788437601182,Don Quijote de la Mancha,8,,,185,consistent,7/25/19
Chabner,9781437705706,Language Of Medicine W/Cd 9E,1,,,NA,consistent,7/25/19
"Chamberlain, R",9780974234618,Ready To Play 2E,1,,,191,consistent,7/25/19
Champeny,9781626808546,Imaginez 3-H W/Supersite Plus Pkg 3E,4,,,184,consistent,7/25/19
"Chinni, D",9781592406708,Our Patchwork Nation,16,,,181,consistent,7/25/19
"Cho, Y",9780824835156,Integrated Korean : Beginning 2 2E,3,,,191,consistent,7/25/19
"Choi, S",9781609304195,Securities Regulation 4E,4,,,191,"4 in cage, netsuite says 6",7/25/19
Christensen,9780078025877,Advanced Financial Accounting 11E,8,,,181,consistent,7/25/19
"Christensen, M",9780804844697,A Geek In China,1,,,191,consistent,7/25/19
"Christensen, M",9781477310816,The Teabo Manuscript,1,,,191,consistent,7/25/19
"Christison, M ",9781932383225,Handbook for Language Program Admins,2,,,191,consistent,7/25/19
Church,9780710512222,Adjusting to Missionary Life 10957,36,,,181,consistent,7/25/19
Cicero,9780199540112,Republic/Laws,1,,,193,consistent,7/25/19
"Clary, B",9781683282341,Successful First Depostions 4E,3,,,191,consistent,7/25/19
"Clawson, D",9780199759248,Latin America & Caribbean 5E,5,,,181,consistent,7/25/19
"Clemensson, P",9781593312763,Your Swedish Roots,4,,,185,consistent,7/25/19
"Cleve, B",9780240806952,Film Production Management 3E,1,,,181,consistent,7/25/19
"Coe, M",9780500290767,Mexico 7E,2,,,191,consistent,7/25/19
Cohen,9781454852018,Copyright In Global Information Economy,5,,,191,consistent,7/25/19
"Cohen, J",9781477307823,Eating Soup Without a Spoon,2,,,193,consistent,7/25/19
"Cohen, J",9781462527779,Trauma-Focused CBT for Children,5,,,193,consistent,7/25/19
"Cohen, M",9786965350008,Agada Shel Safa (Hebrew What A Language),2,,,185,consistent,7/25/19
"Cole, R",9780195170801,Survey of Subsaharan Africa,5,,,185,consistent,7/25/19
"Collins, S",9781618530745,Skills For Acctg & Auditing Research 2E,1,,,165,consistent,7/25/19
