Author,ISBN,Title,Quantity,New,Used,Semester,Discrepancies between Netsuite Quantity,Last Checked
"Johnson, D",9780521757485,Socrates and Athens,1,,,191,consistent,7/23/19
"Johnson, J",9781416623854,The Coach Approach to School Leadership,3,,,191,consistent,7/23/19
"Johnson, M",9781405100151,Archaeological Theory 2E,2,,,191,consistent,7/23/19
"Jones, C",9780814338926,Mother Goose Refigured,1,,,191,consistent,7/23/19
Josephus,9780825429484,New Complete Works Of Josephus Expanded,2,,,191,consistent,7/23/19
"Juchartz, L",9780205520794,American Dreams,1,,,191,"1 in cage, nestuite says -3",7/25/19
"Julier, G",9780500203798,The Thames & Hudson Dictionary of Design Since 1900 2E,1,,,185,consistent,7/23/19
"Jun'ichiro, T",9784101005034,Shisei - Himitsu,3,,,191,consistent,7/23/19
"Jung, C",9780440351832,Man & His Symbols,1,,,191,consistent,7/23/19
"Kahn, P",9780887272998,Secret History Of The Mongols,2,,,191,consistent,7/23/19
Kamana,9780988783010,Na Kai Ewalu Beginning Hawaiian Lessons Textbook 1,5,,,181,consistent,7/23/19
"Kant, I",9781107401068,Groundwork Of Metaphysics Of Morals (Rev),1,,,191,consistent,7/23/19
Kaplan,9781506214351,ACT Prep Plus 2018,2,,,185,consistent,7/23/19
"Kaplan, R",9781133492016,Psychological Testing 8E,3,,,181,consistent,7/23/19
"Kassing, G",9781492536697,History of Dance 2E,4,,,193,consistent,7/29/19
"Katzenbach, J",9781422189870,Hbrs 10 Must Reads On Teams,2,,,185,consistent,7/23/19
"Keeler, J",9781937226718,Edge of Morning: Native Voices Speak for the Bears Ears,1,,,193,consistent,7/23/19
"Kelling, h",9781308592329,Deutsche Kulturgeschichte 3E Custom Create,5,,,181,consistent,7/23/19
Kerin,9780077729035,Marketing Core 6E,2,,,181,consistent,7/23/19
"Kernell, S",9781452276496,Logic Of American Politics 6E,17,,,185,"17 in cage, netsuite says 23",7/25/19
"Kernell, S",9781483319841,Logic Of Amer Politics 7E,31,,,185,"31 in cage, netsuite says 25",7/25/19
"Kernighan, B",9780131103627,C Programming Language 2E,1,,,193,"1 in cage, netsuite says 3",7/25/19
"Kessler, D",9780817309282,The Making of Sacagawea,3,,,191,consistent,7/23/19
"Khalifeh, S",9781566566810,The End Of Spring,3,,,193,"3 in cage, netsuite says 2",7/23/19
"Kindaichi, H",9784053041340,Gakken Gakushu Yorei Kogo Jiten,6,,,191,consistent,7/23/19
"King, R ",9788817032513,La Cupola Di Brunelleschi,17,,,181,consistent,7/23/19
"King, S",9780451168610,Skeleton Crew,3,,,185,consistent,7/23/19
"King, T",9780816689767,Inconvenient Indian,2,,,191,consistent,7/23/19
"Kissi, E",9780842525442,Walking In The Sand (Pod),1,,,191,consistent,7/23/19
"Kisslinger, E",9780132345248,Contemporary Topics 2 3E,30,,,185,consistent,7/23/19
"Klein, G",9780809015801,All But My Life New Expd,1,,,191,consistent,7/23/19
"Klein, W",9780310524175,Introduction To Biblical Interpretation 3E,2,,,185,consistent,7/23/19
"Klug, W",9780134047799,Essentials Of Genetics 9E,7,,,191,consistent,7/23/19
"Klugman, S",9781118315323,Loss Models 4E,2,,,191,consistent,7/23/19
"Koeppen, B",9780323073622,Berne & Levy Physiology 6E Rev W/ Student Consult Access,1,,,175,consistent,7/23/19
"Kopit, A",9780573618185,Wings 2550,2,,,193,consistent,7/23/19
"Krastev, I",9780812249439,After Europe,3,,,191,consistent,7/23/19
"L'amour, Louis",9780553264463,Bendigo Shafter,9,,,185,consistent,7/23/19
"La Plante, J",9780697115911,Asian Art 3E,1,,,185,consistent,7/23/19
"Lareau, A",9780520271425,Unequal Childhoods 2E,2,,,193,consistent,7/29/19
"Lawn, R",9780997661736,Jazz Scores and Analysis,2,,,191,consistent,7/23/19
"Lawrence, J",9786757761616,Compendium Of Jazz Improvisation,9,,,191,consistent,7/23/19
"Lawrence, J",9786757761609,Rhythm Reading A Practice Manual,11,,,191,consistent,7/23/19
"Lawrence, J",9786757761623,Drummer's Workbook,12,,,191,consistent,7/23/19
"Laxness, H",9780679767923,Independent People,1,,,185,consistent,7/23/19
"Lee, H",9780061120084,To Kill a Mockingbird,4,,,191,consistent,7/23/19
"Lee, J",9781475930658,Rising Above It All,2,,,193,consistent,7/23/19
"Leonard, P",9781455772681,Building A Medical Vocabulary 9E,6,,,191,consistent,7/23/19
"Leopardi, G",9788804686248,I Canti (Mondadori),2,,,185,consistent,7/23/19
"Leopardi, G",9788804557289,Le Operreti Morali (Mondadori),9,,,185,consistent,7/23/19
"Lesh, B",9781571108128,Why Won't You Just Tell Us The Answer Grades 7-12,1,,,191,"1 in cage, netsuite says 0",7/23/19
"Levi, P",9788806222680,I Sommersi E I Salvati (Einaudi),1,,,191,consistent,7/23/19
"Levi, P",9780684826806,Survival in Auschwitz,1,,,191,consistent,7/23/19
"Levin, S",9780691156040,Princeton Guide to Ecology,1,,,191,consistent,7/23/19
"Lew, A",9781465256485,World Regional Geography 2E,1,,,191,consistent,7/23/19
"Lewis, CS",9780060652951,Great Divorce,1,,,185,consistent,7/23/19
"Lindle, J",9780415823821,Political Contexts of Educational Leadership,1,,,191,consistent,7/23/19
"Lindsey, R",9781412970860,Culturally Proficient Education,3,,,181,"3 in cage, netsuite says 0",7/23/19
"Llosa, M",9780312420284,Storyteller,7,,,191,consistent,7/23/19
"Loconte, J",9780718091453,A Hobbit A Wardrobe and a Great War,2,,,191,consistent,7/23/19
"LoPucki, L",9781512350265,The Readable Delaware General Corporation Law,7,,,191,consistent,7/23/19
"Love, C. ",9780139536397,Webster's Italian Dictionary Concise,6,,,185,consistent,7/23/19
"Lucas, S",9780072826951,Dinosaurs: The Textbook 5E,6,,,185,consistent,7/23/19
"Luebben, C",9780762770014,Knots For Climbers 3E,1,,,185,consistent,7/23/19
Lundy-Ekman,9781455706433,Neuroscience 4E,2,,,181,consistent,7/23/19
"Lunt, B",9780130943873,Electronic Physical Design 1E (Pod),2,,,141,consistent,7/23/19
"Lynch, M",9781610392358,Arab Uprising,2,,,181,consistent,7/23/19
"Lyons, J",9781608190584,House Of Wisdom,5,,,181,consistent,7/23/19
"Machado,j",9780195101706,Posthumous Memoirs Of Bras Cuba,2,,,185,"couldn't find in cage, netsuite says 0",7/23/19
"Maclachlan, C",9780842051231,History Of Modern Brazil,2,,,181,consistent,7/23/19
"Madsen, A",9781609080808,Opening Isaiah Dvd,1,,,181,consistent,7/23/19
"Maestripieri, D",9780674018471,Primate Psychology (Pod),4,,,191,consistent,7/23/19
"Maier, P",9780679779087,American Scripture,5,,,191,consistent,7/23/19
"Maisto, S",9781285455518,Drug Use & Abuse 7E,13,,,181,consistent,7/23/19
"Malone, M",9780803260221,American West 2E,1,,,181,consistent,7/23/19
Mancomm,9781599597171,29 Cfr Osha 1926 Contr Regs Update 1/16,8,,,195,consistent,7/23/19
"Mangrum, R",9780314875648,Mangrum And Benson On Utah Evidence 2018,1,,,185,consistent,7/23/19
"Manookin, R",9786932850074,Hymn Preludes for Organ B1(00763),12,,,193,consistent,7/23/19
"Marion, M",9780133551396,Ebook Guidance Of Young Children Access Card 9E,6,,,183,consistent,7/23/19
"Marschner, S",9781482229394,Fundamentals Of Computer Graphics 4E,8,,,185,consistent,7/23/19
"Marse, J",9788497931748,El Embrujo De Shanghai (Neb),3,,,191,consistent,7/23/19
"Marsh, C",9780205031979,Strategic Writing 3E,3,,,183,consistent,7/23/19
"Marshal, S",9781770859623,Insects: Their Natural History and Diversity,1,,,185,consistent,7/23/19
"Martella, R",9781462509621,Understanding & Interpreting Educational Research,4,,,191,consistent,7/23/19
"Marty, M",9780140082685,Pilgrims in their own Land,14,,,181,consistent,7/23/19
"Masser, D",9781107061576,Auxiliary Polynomials In Number Theory,1,,,185,consistent,7/23/19
"Mather, N",9781118860748,Woodcock-Johnson Iv,1,,,191,consistent,7/23/19
"Mazuni, A",9788842538516,I Promessi Sposi (Mursia),15,,,185,consistent,7/23/19
"Mazza, J",9781462525591,DBT Skills in Schools for Emotional Problem,2,,,191,consistent,7/23/19
"McBaine, N",9781589586888,Women at Church Magnifying LDS Women's Local Impact,1,,,191,consistent,7/20/19
"Mccance, K",9780323169431,Ebook Pathophysiology 7E,3,,,191,consistent,7/20/19
"McGoldrick, M",9781593850203,Ethnicity & Family Therapy 3E,6,,,191,consistent,7/20/19
"Mckay, J",9781457642166,History Of Western Society 11E Vol A,1,,,181,consistent,7/20/19
"McKenney, C",9781465264640,Introductory Plant Science,16,,,191,consistent,7/20/19
"Meese, M",9781421426778,American National Security,1,,,193,consistent,7/20/19
"Melchert, N",9780190670610,The Great Conversation 8E,3,,,191,consistent,7/20/19
"Melchert, N",9780190670634,The Great Conversation: Volume II: Descartes through Derrida and Quine,3,,,191,consistent,7/20/19
"Merges, R",9781632824516,Patent Law and Policy,3,,,191,consistent,7/20/19
Merriam-Webster,9780877799177,Webster's French Engl-Engl French Dictionary,1,,,191,consistent,7/20/19
"Merrill, R",9780763766221,Introduction To Epidemiology 5E,1,,,185,consistent,7/20/19
"Merritt, D",9781634606462,Learning Evidence: From the Federal Rules,6,,,191,consistent,7/20/19
Metcalf,9780073401188,Wastewater Engineering 5E,1,,,191,consistent,7/20/19
"Michene, J",9780190222147,The Practical Playbook,2,,,191,consistent,7/20/19
"Milkovich, G",9780078029493,Compensation 11E,2,,,185,consistent,7/20/19
"Miller, G",9780357005255,Environmental Science (LL) 15e,86,,,191,consistent,7/20/19
"Mills, E",9780806320724,"Professional Genealogy: Preparation, Practice",1,,,191,consistent,7/20/19
"Mitchell, C",9780976065616,Effective Techniques for Dealing with Highly Resistant Clients,1,,,191,consistent,7/20/19
"Mitchell, D",9780375507250,Cloud Atlas,1,,,191,consistent,7/19/19
"Moberg, V",9780873513197,Emigrants: Book 1,3,,,191,consistent,7/19/19
"Mohamad, M",9789812616500,Malay Dilemma,9,,,185,consistent,7/19/19
"Molina, A",9786070725296,Como la sombra que se va ,4,,,185,consistent,7/19/19
"Montero, R",9788466318778,Historia del rey Transparente,11,,,181,consistent,7/19/19
"Mooney, C",9781929610679,Use Your Words,2,,,191,consistent,7/19/19
"Moore, D",9780805072808,Dependent Gene,1,,,191,consistent,7/19/19
"Morelock, J",9781410203953,Generals Of The Ardennes,3,,,191,consistent,7/22/19
"Morling, B",9780393936933,Research Methods in Psychology 2E,14,,,185,consistent,7/19/19
"Morningstar, M",9781598573114,Your Complete Guide to Transition Planning and Services,2,,,191,consistent,7/19/19
"Morris, L",9780300109726,The Fate of the Corps: What Became,1,,,191,consistent,7/19/19
"Morris, W",9780140433302,News from Nowhere and Other Writings,5,,,191,consistent,7/19/19
"Morse, P",9780691024011,Theoretical Acoustics,1,,,191,consistent,7/19/19
"Motion, A",9780571228287,From Here to Eternity,4,,,185,consistent,7/19/19
"Mounford, J",9780865165953,Bradley's Arnold Latin Prose Composition (Rev),4,,,191,consistent,7/19/19
"Mueller, D",9780521894753,Public Choice III,1,,,191,consistent,7/19/19
Muriel,9781540719546,Laxdaela Saga,3,,,185,consistent,7/19/19
"Murray, D",9781472942241,The Strange Death of Europe,1,,,181,consistent,7/19/19
"Murrin, J",9781305084131,Liberty Equality Power 7E,1,,,185,consistent,7/19/19
"Myers, D",9781464170041,Psychology 3-Hole 11E,1,,,185,consistent,7/19/19
"Myers, M",9781497408180,A Smarer Way to Learn JavaScript,5,,,193,consistent,7/19/19
"Myers, W",9780064407311,Monster,1,,,191,consistent,7/19/19
"Nair, K",9781576750117,Higher Standard Of Leadership,1,,,185,consistent,7/19/19
Napier,9781862877801,Sign Language Interpreting,9,,,181,consistent,7/19/19
"Nash, R",9780205519712,From These Beginnings 8E Vol 1,6,,,191,consistent,7/19/19
"Navidi, W",9780073401331,Statistics For Eng & Sci 4E (Book Only),5,,,193,"5 in cage, netsuite says 9, no rent",7/23/19
NCTM,9780873539234,Assessment to Enhance Teaching Learning 2015,1,,,191,consistent,7/19/19
"Neelands, J",9780521787291,Structuring Drama Work 2E,3,,,181,consistent,7/19/19
"Nelson,M",9781452240435,Presidency & Political System 10E,1,,,181,consistent,7/19/19
New Testament,9786071519856,New Testament Student Manual Item# 10734000,9,,,181,consistent,7/19/19
"Nichols, B",9780253222602,Intro To Documentary 2E,1,,,181,consistent,7/19/19
"Nix, G",9780061474354,Sabriel,1,,,181,consistent,7/19/19
"Nixon, R",9780674072343,Slow Violence & Environmentalism Of Poor,1,,,191,consistent,7/19/19
"Noble, D",9781930618756,Mesa Verde World,2,,,185,consistent,7/16/19
"Nolan, R",9781611329506,Using Anthropology,1,,,191,consistent,7/19/19
"Noonburg, V",9781470444006,Differential Equations: From Calculus to Dynamical Systems,6,,,193,consistent,7/19/19
"Northup, S",9780807101506,Twelve Years A Slave,1,,,191,consistent,7/19/19
"Northup, S ",9781604592153,Twelve Years A Slave ,4,,,185,consistent,7/19/19
"Obata, C",9781890771263,Topaz Moon,2,,,185,consistent,7/19/19
"Oelwein, P",9780933149557,Teaching Reading Children W/ Downs Syndrome,1,,,181,consistent,7/19/19
"Offord, D",9781853993619,Modern Russian,1,,,193,consistent,7/19/19
Ohio St University,9780814252703,Language Files 12E,2,,,194,consistent,7/25/19
Omagio-Hadley,9780838417058,Teaching Language In Context 3E,2,,,191,consistent,7/19/19
Openstax College,9781938168116,Concepts of Biology,6,,,191,consistent,7/19/19
"Orgel, S",9780521568425,Impersonations,1,,,191,consistent,7/19/19
"Ornstein, A",9781337444101,Found Of Education Byu Acp 13E,2,,,181,consistent,7/19/19
"Orwell, G",9780451526342,Animal Farm ,87,,,185,consistent,7/19/19
"Ostroff, W",9781416621973,Cultivating Curiosity,2,,,191,consistent,7/19/19
"Otsuka, J",9780385721813,When The Emperor Was Divine,1,,,191,consistent,7/19/19
"Ousmane, S",9780435909598,God's Bits of Wood,1,,,191,consistent,7/19/19
Oxford,9780190908522,Four separate world music paperback books,1,,,184,consistent,7/19/19
Pagana,9780323089494,Mosby's Manual Of Diag & Lab Tests 5E,6,,,191,consistent,7/19/19
"Page, R",9781449690267,Promoting Health & Emotional Well-Being 6E,2,,,191,consistent,7/19/19
"Palmquist, M",9781319055547,Joining the Conversation,1,,,191,consistent,7/19/19
"Park, M",9780824838676,Integrated Korean Wkbk: Intermediate 2 2E,5,,,191,consistent,7/19/19
"Paton, J",9780739001066,Gateway To German Lieder High Voice,5,,,181,consistent,7/19/19
"Paton, J",9780739002735,Gateway To German Lieder Low Voice,3,,,181,consistent,7/19/19
"Percoco, J",9781625311436,Take the Journey,2,,,185,consistent,7/19/19
"Perry, M",9781305091597,"Western Civilization: A Brief History, V1 11E",28,,,185,consistent,7/19/19
"Peterson, N",9780534641832,Role Of Work In People's Lives 2E,2,,,181,consistent,7/19/19
Pherson Association,9780979888038,Handbook Of Analytic Tools & Techniques,3,,,191,consistent,7/19/19
"Pinel, J",9780205915576,Biopsychology 9E,15,,,185,consistent,7/19/19
Plato,9781724160881,Crito,37,,,191,consistent,7/19/19
"Plautus, T",9780199540563,Four Comedies (Segal),3,,,193,consistent,7/19/19
"Polit, D",9781496300232,Nursing Research,2,,,185,consistent,7/19/19
"Postgate, N",9780415110327,Early Mesopotamia,2,,,191,consistent,7/19/19
"Preucell, R",9781405199131,Archaeological Semiotics,2,,,181,consistent,7/19/19
"Price, C",9781483366753,Families & Change: Coping With Stressful Events And Transitions 5E,2,,,191,consistent,7/19/19
Puchner,9780393933659,Norton Anth Of World Lit Vol Abc 3E,8,,,191,consistent,7/19/19
"Pynes, J",9781118398623,Hr Mgmt For Public & Nonprofit Organizations 4E,1,,,185,consistent,7/19/19
"Rakove, J",9780679781219,Original Meanings: Politics & Ideas Making Const,1,,,181,consistent,7/19/19
"Rasband, J",9781609304423,Natural Resources Law Policy,1,,,191,consistent,7/19/19
"Razavi, B",9780072380323,Design Of Analog Cmos Integrated Circuits,1,,,191,consistent,7/19/19
Redmond,9781554079643,Primate Family Tree,3,,,191,consistent,7/19/19
"Reimer, S",9780965676168,German Research Companion 3E,1,,,191,consistent,7/19/19
"Remarque, E",9780449213940,All Quiet On Western Front,1,,,191,consistent,7/19/19
"Reynolds, J",9781481438254,A Long Way Down,2,,,193,consistent,7/23/19
"Richards, M",9781507764862,Social Media: Dominating Strategies,2,,,181,consistent,7/19/19
"Richards, P",9781591472544,Spiritual Strategy For Counseling & Psychology 2E,4,,,181,consistent,7/19/19
"Roberts, R",9780521422703,Cosmological Physics,1,,,191,consistent,7/19/19
"Roberts, R",9780131433540,Choice: Fable Of Free Trade 3E,16,,,191,consistent,7/19/19
"Romney, M",9780133428537,Accounting Information Systems 13E,12,,,185,consistent,7/19/19
"Rorty, R",9780521358781,Essays on Heidegger and Others vol 2,1,,,181,consistent,7/19/19
"Rosa, J",9788520932131,A Hora E Vez De Augusto Matraga (Nova Fonteira),6,,,181,consistent,7/19/19
Rosenblatt,9781610022699,Autism Spectrum Disorder 2E,1,,,193,consistent,7/19/19
"Roy, G",9782890522701,De Quoi T'ennuies - Tu Evenline,5,,,191,consistent,7/19/19
"Rubin, K",9781606235225,Development of Shyness and Social,1,,,191,consistent,7/19/19
"Rufe, P",9780872638778,Fundamentals Of Manufacturing Workbook 3E,7,,,181,consistent,7/19/19
"Rye, c",9781947172517,Biology 2E,4,,,185,consistent,7/19/19
"Ryle, R",9781506325477,Questioning Gender 3E,2,,,191,consistent,7/19/19
"Sahlins, M",9780226733692,How Natives Think,1,,,181,consistent,7/19/19
Saito/Schultz,9781121393752,Engineering Drawing W/Cad App 4E (Pod),50,,,185,"50 in cage, netsuite says 49",7/19/19
"Saitta, D",9780813030708,Archaeolog of Collective Action,2,,,191,consistent,7/19/19
"Salamon, L",9780815724254,Resilient Sector 2E,2,,,191,consistent,7/19/19
"Salzman, J",9781609303051,Environmental Law & Policy 4E,6,,,191,consistent,7/19/19
"Sandars, N",9790140441009,Epic Of Gilgamesh (Trans: Sandars),1,,,191,consistent,7/19/19
"Sansom, R",9780738092690,Lab Manual 3E,22,,,183,consistent,7/19/19
"Saunders, G",9780812984255,Tenth of December: Stories,1,,,191,consistent,7/19/19
Sawyer,9781337442145,Tax Research Methods 10E Custom (7 Chapters),9,,,185,consistent,7/19/19
"Sayre, H",9780133869842,Revel Access Humanities Vol 1 3E,1,,,191,consistent,7/19/19
"Schacter, D",9781464122248,Ebook Psychology 3E (6 Mo Access),3,,,181,consistent,7/19/19
"Scheindlin,S",9781634597487,Electronic Discovery and Digital Evidence in a Nutshell,1,,,191,consistent,7/19/19
"Schubert, F",9780793546435,100 Songs Low Voice (Hl 00740028),2,,,181,consistent,7/19/19
"Schwiebert, P",9780961519766,Tear Soup: Recipe Healing After Loss,3,,,185,consistent,7/19/19
"Scruton, R",9781472935953,"Fools, Fraud and Firebrands",2,,,191,consistent,7/19/19
"Sebald, W",9780812982619,Austerlitz,2,,,191,consistent,7/19/19
Secord,9781401897253,Eliciting Sounds Techniques and Strategies 2e,2,,,191,consistent,7/19/19
"Shakespeare, W",9780743477123,Hamlet (Mowatt),5,,,191,"5 in cage, netsuite says 6, no rent",7/19/19
"Shakespeare, W",9780743477543,Midsummer Night's Dream,9,,,191,consistent,7/19/19
"Shakespeare, W",9780140714883,Winter's Tale,1,,,191,consistent,7/19/19
"Sheather, S",9780387096070,Modern Approach to Regression with R,18,,,191,consistent,7/19/19
"Shohei, O",9784101065038,Nobi,3,,,191,consistent,7/19/19
"Shrager, E",9780979320033,World Language Daily Tech Guide,2,,,191,consistent,7/19/19
"Shulman, H",9781609302672,Cases And Materials On The Law Of Torts (University Casebook Series),4,,,185,consistent,7/19/19
Simon,9780134014975,Campbell Essen Biol 6E All-Inclusive print op,4,,,184,consistent,7/19/19
Simon ,9780134256856,Campbell Essen Biol 3-H 6E W/Masteringbiology & Etext,7,,,184,consistent,7/19/19
"Singer, P",9780521707688,Practical Ethics,3,,,191,consistent,7/19/19
"Skram, A",9788253026336,Pa St. Jorgen,2,,,181,consistent,7/19/19
"Sloan, W",9781885219381,Historical Methods In Communications 3E,1,,,191,consistent,7/19/19
"Smart, J",9780521098229,Utiliarianism: For & Against,4,,,191,consistent,7/19/19
Smith,9781337690522,BNDL: ACP Cornerstones of Cost Management: BYU ACC 402,85,,,181,consistent,7/19/19
"Smith, H",9780674939554,Virgin Land,3,,,191,consistent,7/19/19
"Smith, J",9781259696527,Intro to Chem Eng Thermodynamics 8E,1,,,191,consistent,7/19/19
"Smith,E",9780307353368,How To Make Books,1,,,185,consistent,7/19/19
"Snow, D",9780205941223,National Security For New Era 5E,1,,,181,consistent,7/19/19
"Socolow, S",9780521476423,Women Of Colonial Latin America,2,,,175,consistent,7/19/19
"Sompayrac, L",9781449645793,How Pathogenic Viruses Think,2,,,193,"2 in cage, netsuite says 3, but rent, no record",7/19/19
"Spafford, G",9781942788294,The Phoenix Project,11,,,191,consistent,7/19/19
Spanish 339 BYU,9781308104812,Intro To Hispanic Lit Custom Ed,11,,,183,consistent,7/19/19
"Spence, J",9780140080988,Memory Palace of Matteo Ricci,26,,,185,consistent,7/19/19
"Spencer, J",9781589586321,Vision Of All,4,,,183,consistent,7/19/19
"Spengler, J",9781571676436,Legal Liability In Recreation Sports & Tourism 4E,5,,,191,consistent,7/19/19
"Spinoza, B",9780872208032,The Essential Spinoza,1,,,191,consistent,7/19/19
St. Augustine,9780385029100,The City Of God,3,,,191,"3 in cage, 2 on netsuite",7/19/19
St. Augustine,9781565481541,Confessions Rev,17,,,191,consistent,7/19/19
"Stedje, A",9783825214999,Deutsche Sprache Gestern Und Heute 6E (Fink),4,,,185,consistent,7/19/19
"Stein, S",9780300059335,Shaker Experience in America (P),4,,,191,consistent,7/19/19
"Steinberg, L",9780073532110,Adolescence 10E,5,,,185,"5 in cage, netsuite says 7, no rent",7/15/19
"Stern, A",9781626540637,How to See Color and Paint It,4,,,185,consistent,7/15/19
"Steves, R",9781631216725,Rick Steves London 2018,2,,,185,consistent,7/15/19
"Stickdorn, M",9781491927182,This Is Service Design Doing,1,,,191,consistent,7/15/19
Stipanuk,9781437709599,Biochemical Physiological And Molecular Aspects Of Human Nutrition 3E,1,,,193,consistent,7/29/19
"Stone, E",9781609015008,Dynamics Of Fashion 4E,1,,,184,consistent,7/15/19
"Straussner, S",9781462512690,Clinical Work W/Substance-Abusing Clients 3E,1,,,191,consistent,7/15/19
"Strayer, R",9780312583484,Ways Of World : Brief Global Hist W/Sources V1 2E,1,,,185,consistent,7/15/19
"Strong, A",9780740933646,BYU Custom - Plastics: Materials and Processing 3e,1,,,191,"1 in cage, netsuite says 22, no rent",7/15/19
"Strozzi, A",9780520203907,Selected Letters of Alessandra Strozzi,1,,,191,consistent,7/15/19
"Stubbendieck, J",9780803234857,North American Wildland Plants 2E,3,,,191,consistent,7/15/19
"Suassuna, A",9788520937822,Auto Da Compadecida (Agir),10,,,191,consistent,7/15/19
"Sun, L",9781454886815,Structures Of The Constitution,1,,,191,consistent,7/15/19
"Swann, P",9780415517713,Cases In Public Relations Management 2E Rev,1,,,191,consistent,7/15/19
"Taruscin, R",9780199346875,Music In 19Th Cent + Anth West Music Vol. 2 Pkg,1,,,185,consistent,7/15/19
"Taylor, F",9781595478023,Principles Of Scientific Management,4,,,191,consistent,7/15/19
"Taylor, J",9780674060494,Generalissimo,1,,,191,consistent,7/15/19
"Taylor, S",9781259438738,Health Psychology 9E,1,,,185,consistent,7/15/19
"Teyber, F",9781305271531,Interpersonal Process In Therapy 7E,1,,,191,consistent,7/15/19
"Thompson, J",9781853990595,Livy: Book XXII,4,,,191,consistent,7/15/19
"Thomson, W",9780262515894,Guide For The Young Economist,1,,,191,consistent,7/15/19
"Timberlake, K",9781269835008,Gen Org Bio Chemistry 5E (Byu Custom Textbook Only),1,,,191,consistent,7/15/19
"Tolstoy, L",9780140449617,Death Of Ivan Ilyich & Other Stories (Wilks),10,,,191,consistent,7/15/19
"Trager, R",9781452239989,Law Of Journalism & Mass Communication 4E,1,,,181,"1 in cage, netsuite says 0, no rent",7/15/19
"Trager, R",9781506303413,Law Of Journalism & Mass Communication 5E,5,,,183,consistent,7/15/19
"Transtomer, T",9789174292466,Samlade Dikter 1954 - 2004,2,,,191,consistent,7/15/19
"Tree, D",9780390770790,Intermediate Thermodynamics,5,,,181,consistent,7/15/19
"Trevino, L",9780470343944,Managing Business Ethics 5E,1,,,191,consistent,7/15/19
"TseTung, M",9780835123884,Quotations From Chairman Mao Tsetung,11,,,185,consistent,7/15/19
"Tunnell, M",9781461199502,Children of Topaz,3,,,185,consistent,7/15/19
"Turgenev, I",9780393927979,Fathers & Children (Katz) 2E,2,,,191,consistent,7/15/19
"Turgeon, M",9780323225458,Clinical Laboratory Science,1,,,185,consistent,7/15/19
"Turley, S",9780740933417,Byu Digital - Physical Science Foundations 2016,13,,,175,consistent,7/15/19
"Turner, J",9780691168586,Philology: The Forgotten Origins,1,,,191,consistent,7/15/19
"van Valin, R",9780521635660,An Introduction to Syntax,8,,,181,consistent,7/15/19
"Vardell, S",9781937057787,Poetry Friday Anth Grades 6-8 Common Core Ed,2,,,181,consistent,7/15/19
"Villoro, J",9786071633323,Tiempo Transcurrido,6,,,181,consistent,7/15/19
"Vinge, V",9780812536362,Rainbows End,4,,,191,consistent,7/15/19
"Viren, S",9780826359544,Mine: Essays,3,,,181,consistent,7/15/19
Virgil,9780872207905,Essential Aeneid (Lombardo),3,,,193,"3 in cage, netsuite says 3, 1 in ecommerce",7/25/19
Virgil,9780674995864,Aeneid 7-12 Appendix Vergiliana (Trans Fairclough) (Rev),4,,,191,consistent,7/15/19
Voltaire,9780486266893,Candide,16,,,191,consistent,7/15/19
"Von Drehle, D",9780802141514,Triangle: The Fire That Changed America,3,,,191,consistent,7/15/19
"Walder, A",9780674058156,China Under Mao,1,,,181,consistent,7/15/19
"Walters, M",9780192805102,Feminism: Very Short Intro,5,,,191,consistent,7/15/19
"Waltz, K",9780231125376,Man The State & War,1,,,191,consistent,7/15/19
"Wansink, B",9780553384482,Mindless Eating,1,,,191,consistent,7/15/19
"Warner, M",9780198718659,Once Upon A Time,6,,,185,consistent,7/15/19
"Warren, R",9780822200185,All The King's Men,16,,,181,consistent,7/15/19
"Weil, I",9781618113962,From Cincinnati Reds To Moscow Reds,1,,,185,consistent,7/15/19
"Weiss, R",9780684823126,Learning from Strangers,5,,,191,consistent,7/15/19
"Welch, J",9780842527125,The Legal Cases in the Book of Mormon,1,,,185,consistent,7/15/19
"Wescott, D",9781586850982,Primitive Techoloy II: Ancestral Skills (P),4,,,185,consistent,7/15/19
"Weston, J",9780486431918,Sir Gawain & The Green Knight,10,,,181,consistent,7/15/19
"Wharton, E",9780486420493,House of Mirth,18,,,191,consistent,7/15/19
"Wheelis, A",9780060904470,How People Change,1,,,191,consistent,7/15/19
"Whetten, D",9780136121008,Developing Management Skills 8E,3,,,185,consistent,7/15/19
"White, R",9780440917403,Deathwatch,1,,,191,consistent,7/15/19
"Whitehead, C",9780345804327,The Underground Railroad,5,,,191,consistent,7/15/19
"Whitehead, C",9780385542364,Underground Railroad,7,,,191,consistent,7/15/19
"Whitley, S",9780878403813,Spanish/English Contrasts: A Course In Spanis,7,,,191,consistent,7/15/19
"Wicander, R",9781111987299,Historical Geology 7E,4,,,185,consistent,7/15/19
"Wilkinson, J",9780131841765,Contemporary Europe 10E,4,,,191,consistent,7/15/19
"Williams, R",9780133966152,Non-Designer's Design Book 4E,1,,,191,consistent,7/15/19
"Williams, T",9780822204503,Glass Menagerie,3,,,191,consistent,7/15/19
"Wilson, E",9780073382203,Living Theater: History 6E,8,,,184,consistent,7/15/19
"Wimmer, R",9781133307334,Mass Media Research,1,,,181,consistent,7/15/19
"Wolfe, M",9781579549886,Taking Back Islam,2,,,191,consistent,7/15/19
"Wong, W",9781305967090,Encore Niveau intermédiaire,2,,,185,consistent,7/15/19
